#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"is the graphical server."
,xinit,"starts the graphical server."
,i3,"i3 window manager."
,rofi,"window switcher, application launcher and dmenu replacement."
,xdg-utils,"are filetype utilities."
,bc,"is used for a dropdown calculator."
,dbus,"facilitates inter-process communication."
,xbacklight,"enables changing screen brightness levels."
,xwallpaper,"sets the wallpaper."
,gnome-keyring,"serves as the system keyring."
,network-manager-gnome,"network manager."
,neovim,"a tidier vim with some useful features"
,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"is an audio interface for ALSA."
,maim,"can take quick screenshots at your request."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,atool,"manages and gives information about archives."
,fonts-font-awesome,"font awesome."
,fonts-powerline,"powerline fonts."
P,bumblebee-status,"i3 status bar."
,lm-sensors,"utility for reading sensors."
P,psutil,"library for process and system monitoring."
P,netifaces,"network interface information."
,gsimplecal,"simple calendar utility."
,zsh,"Zsh shell."
,firefox-esr,"firefox browser."